2019-09-04 09:31:18,138 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\hcljava\Laksh5\CollegeProject\pom.xml
2019-09-04 09:31:28,155 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: hcl:CollegeProject:0.0.1-SNAPSHOT @ C:\hcljava\Laksh5\CollegeProject\pom.xml.
2019-09-04 09:31:32,769 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CollegeProject/src/main/java
2019-09-04 09:31:32,770 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /CollegeProject/src/main/resources
2019-09-04 09:31:32,771 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CollegeProject/src/test/java
2019-09-04 09:31:40,059 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 21 sec
2019-09-04 09:31:42,010 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-04 09:31:42,023 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-04 09:31:42,026 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-04 09:31:42,039 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\hcljava\Laksh5\CollegeProject\src\test\resources
2019-09-04 09:32:52,978 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-04 09:32:52,988 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-04 09:32:52,990 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-04 09:32:52,998 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\hcljava\Laksh5\CollegeProject\src\test\resources
2019-09-04 09:33:25,566 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: hcl:AnnoEmploy:0.0.1-SNAPSHOT @ C:\hcljava\Laksh4\AnnoEmploy\pom.xml.
2019-09-04 09:33:28,840 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-09-04 09:33:28,845 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\hcljava\Laksh4\AnnoEmploy\src\main\resources
2019-09-04 09:33:28,847 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-09-04 09:33:28,847 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\hcljava\Laksh4\AnnoEmploy\src\test\resources
2019-09-04 09:33:29,331 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-09-04 09:33:29,351 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\hcljava\Laksh4\AnnoEmploy\src\main\resources
2019-09-04 09:33:29,353 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-09-04 09:33:29,353 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\hcljava\Laksh4\AnnoEmploy\src\test\resources
2019-09-04 09:33:58,178 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: hcl:CollegeProject:0.0.1-SNAPSHOT @ C:\hcljava\Laksh5\CollegeProject\pom.xml.
2019-09-04 09:33:59,229 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-04 09:33:59,250 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-04 09:33:59,258 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-04 09:33:59,271 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\hcljava\Laksh5\CollegeProject\src\test\resources
2019-09-04 09:33:59,278 [Worker-16] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of CollegeProject
